NumberOfVehicles,CrashDate,CrashTime,DayOfWeek,TypeOfCollision,LocationOfFirstHarmfulEvent,RoadwaySurfaceType,RoadwayDefect,LightCondition_Category,LightCondition_Value,RoadwayDescription,WorkZoneLocation,WeatherCondition,RoadwayAlignment,WorkZoneWorkersPresent,SchoolZone,IntersectionType,WorkZoneType,TrafficControlType,RoadwaySurfaceCondition,RelationToRoadway_Category,RelationToRoadway_Value,TrafficControlMechanicalDevice,WorkZoneRelated,Year,Meteorological Season,MonthName,DaytimeNighttime_NHTSA,ThreeHourLabel,Hour,CrashType,AlcoholInvolved,SpeedRelated,CommercialMotorVehiclesInvolved,PedestrianInvolved,BicycleInvolved,MotorcycleInvolved,MopedInvolved,TrainRelated,SchoolZoneInvolved,TeenDriverInvolved,DistractedDriverInvolved,DriverTextingInvolved,DriverUsingCellPhone,Single_Multi_Vehicle,Jurisdiction,TownName,LocationTypeName,Latitude,Longitude,Interstate_NonInterstate,RoadName,RouteNumber,RouteName,MileMarker,FunctionalClassCode,AtIntersection,SecondaryLocation,MatureDriverInvolved,MatureDriverFatalities,MatureDriverInjuries,LargeTruckInvolved,PedestrianFatalities,PedestrianInjuries,MotorcycleFatalities,MotorcycleInjuries,BicycleFatalities,BicycleInjuries,DistractedDriverFatalities,DistractedDriverInjuries,UnrestrainedInjuries,Number_Of_Fatalities,Number_Of_Injuries,Crash_UID,Is_Fatal,Is_Severe,Is_Minor,SeverityLabel
2,2022-12-03,16:13:00,Saturday,Rear End,On Roadway,Concrete,No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Interchange Area,On Entrance/Exit Ramp,Yes - Working,No,2022,Winter,December,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Multiple Vehicle Crashes,Newport News City,,Urban,37.17297,-76.55128,Interstate,I-64E,64.0,I-64,250.67,Interstate,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c9176480,0,0,1,Minor
2,2023-05-16,16:09:00,Tuesday,Sideswipe - Same Direction,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"One-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,Yes - With School Activity,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2023,Spring,May,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Multiple Vehicle Crashes,Petersburg City,,Rural,37.18833,-77.39967,Non-Interstate,HOMESTEAD DR (NP - CITY OF PETERSBURG),,ROLLINGWOOD RD,1.08,Local,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7044655,0,0,1,Minor
2,2022-11-02,07:15:00,Wednesday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Interchange Area,Main-Line Roadway,Yes - Working,No,2022,Autumn,November,Daytime,6:00am - 8:59am,7,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Norfolk City,,Urban,36.85823,-76.2784,Non-Interstate,UR-8575S (CITY OF NORFOLK),,CHURCH ST,1.08,Minor Arterial,At Intersection,PRINCESS ANNE RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c0180174,0,0,1,Minor
2,2022-07-27,14:46:00,Wednesday,Head On,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2022,Summer,July,Daytime,Noon - 2:59pm,14,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Alexandria City,,Urban,38.83999,-77.10583,Non-Interstate,VA-7W,7.0,KING ST,68.61,Other Principal Arterial,At Intersection,28TH ST,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c5613335,0,0,1,Minor
2,2023-01-05,20:00:00,Thursday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Not Lighted,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,No Traffic Control,Dry,Intersection Area,Non-Intersection,No Traffic Control Device Present,No,2023,Winter,January,Nighttime,6:00pm - 8:59pm,20,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Chesterfield County,,Urban,37.46186,-77.67061,Non-Interstate,SC-652S (CHESTERFIELD COUNTY),652.0,OLD HUNDRED RD,0.58,Minor Arterial,Not at Intersection,,Yes,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c0425959,0,0,1,Minor
2,2022-09-22,07:05:00,Thursday,Rear End,On Roadway,Concrete,No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,Yes,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2022,Autumn,September,Daytime,6:00am - 8:59am,7,Property Damage Crash,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Multiple Vehicle Crashes,Fairfax City,,Urban,38.84115,-77.27234,Non-Interstate,VA-236E,236.0,MAIN ST,2.94,Other Principal Arterial,At Intersection,PICKETT RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c7069152,0,0,1,Minor
1,2024-08-08,04:03:00,Thursday,Fixed Object - Off Road,Shoulder,"Blacktop, Asphalt, Bituminous",No Defects,Darkness,Darkness - Road Lighted,"Two-Way, Divided, Positive Median Barrier",Not Provided,Rain,Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Wet,Interchange Area,On Entrance/Exit Ramp,Yes - Working,No,2024,Summer,August,Nighttime,3:00am - 5:59am,4,Property Damage Crash,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Single Vehicle Crashes,Fairfax County,,Urban,38.83913,-77.44554,Interstate,I-66W,66.0,I-66,52.65,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c1855212,0,0,1,Minor
2,2023-10-02,13:27:00,Monday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Not Divided",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Three Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Intersection Related - Within 150 Feet,Yes - Working,No,2023,Autumn,October,Daytime,Noon - 2:59pm,13,Injury Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Suffolk City,,Urban,36.77182,-76.54584,Non-Interstate,UR-642S (CITY OF SUFFOLK),642.0,WILROY RD,16.19,Minor Arterial,At Intersection,PROGRESS RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,1,c7631885,0,0,1,Minor
2,2023-11-16,16:19:00,Thursday,Rear End,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Positive Median Barrier",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Not at Intersection,Not Provided,Traffic Lanes Marked,Dry,Intersection Area,Non-Intersection,Yes - Working,No,2023,Autumn,November,Daytime,3:00pm - 5:59pm,16,Property Damage Crash,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Multiple Vehicle Crashes,Norfolk City,,Urban,36.84434,-76.2784,Interstate,I-264E,264.0,I-264,8.13,Interstate,Not at Intersection,,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c4014851,0,0,1,Minor
3,2024-06-09,15:11:00,Sunday,Angle,On Roadway,"Blacktop, Asphalt, Bituminous",No Defects,Daylight,Daylight,"Two-Way, Divided, Unprotected Median",Not Provided,No Adverse Condition (Clear/Cloud),Straight - Level,Not Provided,No,Four Approaches,Not Provided,Traffic Signal,Dry,Intersection Area,Within Intersection,Yes - Working,No,2024,Summer,June,Daytime,3:00pm - 5:59pm,15,Property Damage Crash,No,No,No,No,No,No,No,No,No,No,No,No,No,Multiple Vehicle Crashes,Fairfax County,,Urban,38.78229,-77.32786,Non-Interstate,VA-123S,123.0,OX RD,10.18,Other Principal Arterial,At Intersection,CHAPEL RD,No,0,0,No,0,0,0,0,0,0,0,0,0,0,0,c8975874,0,0,1,Minor
